Year,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
1992,43100902214144.0,4925506924,6040.16,2029.31,507.53,8200.082,3913.98,8308.633,233.191,214.19,21377.597,94.93,97.24,98.76,90.42,98.32,94.73
1993,44254710147584.0,4993557961,6055.96,2011.81,527.344,8302.55,4013.695,8317.984,230.364,212.876,21604.804,94.87,97.35,98.59,90.39,98.65,94.75
1994,45812080437760.0,5060333191,6108.38,2040.12,564.219,8359.882,4042.822,8304.809,234.142,213.153,21719.016,95.22,97.45,98.42,89.93,98.79,94.61
1995,47587028476928.0,5126526633,6177.81,2090.19,597.874,8609.555,4147.817,8370.297,232.148,220.523,22178.202,95.44,97.52,98.39,89.69,98.74,94.6
1996,49599196732416.0,5192262944,6188.24,2127.99,609.88,8841.302,4330.324,8572.395,233.773,218.65,22806.31,95.43,97.71,98.32,89.24,98.56,94.46
1997,51565298985984.0,5257369247,6394.89,2102.07,633.56,8785.959,4340.014,8664.816,240.178,219.492,22884.01,96.18,97.62,98.25,88.8,98.89,94.19
1998,52817072630784.0,5321912696,6264.77,2115.82,630.85,8540.647,4407.971,8707.996,230.788,217.513,22735.752,96.42,97.47,98.18,88.41,99.72,93.89
1999,54776791415808.0,5385917834,6218.49,2106.16,661.347,8474.227,4536.504,8895.491,223.244,216.077,23006.882,96.55,97.47,98.09,88.29,99.73,93.78
2000,57586361456640.0,5449432936,6226.21,2100.92,692.294,8759.67,4644.236,9086.037,268.76,213.319,23664.305,96.5,97.18,98.03,88.38,99.67,93.79
2001,59280038126592.0,5512511161,6187.16,2114.63,722.62,8801.028,4688.599,9176.248,268.767,210.498,23867.75,96.62,97.1,98.01,88.44,98.89,93.78
2002,61292084835328.0,5575279315,6307.19,2155.24,762.073,9181.375,4822.061,9158.2,279.232,213.924,24416.857,96.61,97.04,97.96,88.33,97.33,93.78
2003,63808774490112.0,5637937091,6324.97,2165.57,819.958,9956.173,4985.796,9406.606,280.619,218.47,25667.61,96.75,97.13,97.84,88.24,97.28,93.8
2004,67375228895232.0,5700721768,6557.05,2248.27,877.717,10597.453,5141.354,9679.931,304.267,228.937,26829.645,96.79,97.22,97.57,87.89,97.76,93.73
2005,70853906788352.0,5763799551,6577.45,2242.18,928.618,11267.502,5259.717,9732.221,327.219,239.75,27755.015,96.73,97.36,97.53,87.66,98.54,93.79
2006,74903125254144.0,5827235258,6757.19,2279.11,1015.708,11900.435,5374.264,9773.233,329.571,250.63,28643.834,96.96,97.33,97.35,87.2,98.79,93.67
2007,78977099979776.0,5890983499,6700.63,2329.74,1090.176,12488.91,5542.226,9740.737,345.488,258.161,29465.69,97.1,97.45,97.19,86.62,99.19,93.61
2008,81319451457536.0,5954955044,6727.4,2295.08,1105.698,12912.257,5703.125,9679.179,359.474,258.353,30018.076,97.1,97.54,97.13,86.4,99.17,93.65
2009,81334776656896.0,6019003337,6788.57,2298.99,1137.526,12774.843,5597.703,9488.605,364.638,241.937,29605.242,97.19,97.74,97.18,86.26,99.27,93.67
2010,86090775220224.0,6082993842,6844.81,2351.32,1212.747,13668.554,6022.273,9762.231,364.23,244.617,31274.643,97.23,97.83,97.03,86.34,99.22,93.78
2011,89676662003712.0,6146871405,6961.37,2414.46,1305.082,14470.006,6191.395,9780.988,348.973,273.461,32369.897,97.16,97.89,97.11,86.21,98.48,93.87
2012,92217484354560.0,6210582020,7045.69,2436.02,1336.781,14631.394,6317.593,9931.859,360.6,274.136,32852.349,96.99,97.87,97.08,86.3,98.93,93.88
2013,95037992880128.0,6273983838,7002.55,2414.01,1395.685,14713.724,6355.461,9988.519,364.782,291.373,33109.535,97.01,97.79,96.97,86.24,98.66,93.85
2014,98061503380480.0,6336909243,7158.0,2459.07,1450.205,14739.708,6456.668,10004.945,376.191,302.228,33329.932,97.08,97.84,96.93,86.0,98.61,93.77
2015,100790897618944.0,6399205729,7201.66,2478.91,1391.954,14402.709,6573.5,10201.501,366.997,299.448,33236.098,96.85,97.84,96.87,85.86,98.52,93.59
2016,102529980486656.0,6460796788,7090.95,2492.15,1430.735,14029.65,6754.335,10274.205,382.64,297.127,33168.681,96.8,97.68,96.91,85.91,98.69,93.54
2017,105511060297728.0,6521595642,7192.85,2556.18,1450.242,14115.275,6894.619,10394.433,417.093,299.981,33571.637,96.61,97.65,96.85,85.68,98.59,93.42
2018,108603767833600.0,6581434571,7336.43,2541.36,1512.85,14370.648,7233.313,10410.192,405.334,300.391,34232.722,96.59,97.61,97.04,85.42,98.34,93.41
